,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count
Document,Britain and the world,Business Environment,Chapter,Foreword from the Prime Minister,Grand Challenges,Ideas,Infrastructure,Introduction,People,Places
ageing,0.0,0.0,0.0,0.0009270882463992572,0.002070739797379238,0.0005612234934805434,9.698606868539789e-05,0.0004540672211253251,0.00010528145584624706,0.0
agencies,0.0,0.0001893634483054319,0.0,0.0,0.0,0.0007936537932273803,0.0004571759272169873,0.0,0.0,0.0
agency,0.0,0.0,0.0,0.0,0.00023214865261569678,0.0002013383282518469,0.00017396824223925482,0.0,0.0,0.00025883918979495907
agents,0.0,0.0007243111333734022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ages,0.0,0.0,0.0,0.0,0.0004077623289673424,0.0,0.0,0.0,0.0013268243301187966,0.0
agglomeration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006504477663824989
aggregate,0.0,0.0002531358780173168,0.0,0.0,0.0,0.00035364489396486493,0.0,0.0,0.0,0.0
agile,0.0026173321833172524,0.0005680903449162958,0.0,0.0,0.0,0.00026455126440912683,0.0,0.0,0.0,0.0
agility,0.005005619767378361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ago,0.0,0.0,0.0,0.008357840627927571,0.0,0.0,0.0,0.0,0.0,0.0
agp,0.0,0.0003621555666867011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agree,0.0,0.00010901968866938428,0.0,0.0,0.0,0.0003046131314260362,0.00013160189492309574,0.0009241962407465937,0.0,0.0003916085765875397
agreed,0.0,0.0004360787546775371,0.0,0.0,0.00017561367635164564,0.0,0.0002632037898461915,0.0003080654135821979,0.0,0.001174825729762619
agreeing,0.0,0.0003787268966108638,0.0,0.0,0.0,0.0,0.0,0.0005350990241448605,0.0,0.00034010531195647915
agreement,0.0,0.0003787268966108638,0.0,0.0,0.000305034913687848,0.0007936537932273803,0.0,0.0,0.0,0.0
agreements,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020467423048835965,0.0,0.0
agri,0.0,0.0,0.0,0.0,0.0,0.0014145795758594597,0.0,0.0,0.0,0.0009092869561774578
agricultural,0.0,0.0003787268966108638,0.0,0.0,0.000610069827375696,0.0,0.0,0.0,0.0,0.0010203159358694374
agriculture,0.0,0.00028823237869586506,0.0,0.0,0.0016250405683098774,0.0004026766565036938,0.00034793648447850963,0.0,0.0,0.0
agsrow,0.0,0.0,0.0,0.0,0.0,0.0,0.00043717203208544633,0.0,0.0,0.0
ahead,0.0015068416968694463,0.00032705906600815287,0.0,0.0,0.00017561367635164564,0.0,0.0,0.0012322616543287916,0.0002857160678317994,0.0
ai,0.0,0.002180393773387686,0.0,0.0,0.006673319701362534,0.0001523065657130181,0.000526407579692383,0.0003080654135821979,0.0,0.0
aid,0.0,0.0002531358780173168,0.0,0.0,0.0,0.0,0.0003055701371623505,0.0,0.0,0.0
aids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010233711524417982,0.0,0.0
aim,0.00022904459925614424,8.285664962081344e-05,0.0,0.00019121690682001152,2.669382205670797e-05,2.3151069140370545e-05,8.001558052616392e-05,9.365379169584565e-05,8.685945231477853e-05,5.9525715060918846e-05
aimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004745641164455989,0.0
aiming,0.0,0.0,0.0,0.0,0.0005833760053189881,0.0,0.0,0.0,0.0,0.0
aims,0.0,0.00024103127890814284,0.0,0.0009270882463992572,0.00012942123733620237,0.0,0.00029095820605619366,0.0,0.00021056291169249412,0.00014430102366270924
air,0.0,0.0,0.0,0.0,0.0004077623289673424,0.0,0.0021389909601364538,0.0,0.0,0.0
airbus,0.0,0.0003621555666867011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airline,0.0,0.0003621555666867011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airport,0.0,0.0,0.0,0.0,0.0,0.0,0.001833420822974103,0.0,0.0,0.0004546434780887289
airports,0.0,0.0,0.0,0.0,0.0,0.00035364489396486493,0.0003055701371623505,0.0,0.0,0.0
alan,0.0,0.0,0.0,0.0,0.0005833760053189881,0.0,0.0,0.0,0.0,0.0
alert,0.0,0.0003621555666867011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
algorithms,0.0,0.0,0.0,0.0,0.0005833760053189881,0.0,0.0,0.0,0.0,0.0
align,0.0,0.00032137503854419045,0.0,0.0,0.00012942123733620237,0.0001122446986961087,9.698606868539789e-05,0.0006811008316879876,0.0,0.00014430102366270924
aligned,0.0,0.0,0.0,0.0,0.0,0.00035364489396486493,0.0,0.0,0.0,0.0009092869561774578
aligning,0.0,0.0003621555666867011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aligns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006504477663824989
alleviation,0.0,0.0,0.0,0.0,0.0,0.0,0.00043717203208544633,0.0,0.0,0.0
alliance,0.0,0.0002531358780173168,0.0,0.0,0.0,0.00035364489396486493,0.0,0.0,0.0,0.0
allied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004745641164455989,0.0
allies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010233711524417982,0.0,0.0
allocated,0.0,0.0,0.0,0.0,0.0,0.0,0.0015278506858117527,0.0,0.0,0.0009092869561774578
allocating,0.0,0.0,0.0,0.0,0.0,0.0005059514596778831,0.0,0.0,0.0,0.0
allocation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013008955327649977
allocations,0.0,0.0,0.0,0.0,0.0,0.0,0.0008743440641708927,0.0,0.0,0.0
allow,0.00048509467677002125,3.5096500678548247e-05,0.0,0.0,0.00011306995252810225,0.00024515881269414385,8.473269463231811e-05,0.00019834982339040868,9.198002939579958e-05,6.30349015011892e-05
allowing,0.0,0.00010901968866938428,0.0,0.0,0.00017561367635164564,0.0003046131314260362,0.00013160189492309574,0.0003080654135821979,0.0,0.0
allows,0.0,0.00010901968866938428,0.0,0.0,0.00017561367635164564,0.0001523065657130181,0.0002632037898461915,0.0,0.0001428580339158997,0.0
almost,0.0,0.00010901968866938428,0.0,0.0,0.00017561367635164564,0.0003046131314260362,0.00013160189492309574,0.0,0.0002857160678317994,0.0
alone,0.0,0.0,0.0,0.0,0.0,0.0010609346818945947,0.0,0.0007153057388596002,0.0,0.0
along,0.0,0.0,0.0,0.0,0.0,0.0,0.0008743440641708927,0.0,0.0,0.0
alongside,0.0,0.00039269024969662265,0.0,0.0,9.036608663256459e-05,0.00015674574552350357,0.00013543760924197168,0.00015852219730610328,0.0002940436471053029,0.0004030225355239914
alphago,0.0,0.0,0.0,0.0,0.0,0.0005059514596778831,0.0,0.0,0.0,0.0
already,0.0,0.0005048874638956577,0.0,0.0,0.0007229286930605167,0.00023511861828525536,0.0006094692415888725,0.00015852219730610328,0.0006615982059869315,0.0004030225355239914
also,0.000916178397024577,0.0003977119181799044,0.0,0.00038243381364002303,0.0006406517293609912,0.00039356817538629924,0.00024004674157849176,0.0004682689584792282,0.0005428715769673658,0.0004464428629568913
alter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004745641164455989,0.0
alternative,0.0,0.0,0.0,0.0,0.0,0.0,0.00043717203208544633,0.0,0.0,0.0
alternatives,0.0,0.0,0.0,0.0,0.0017501280159569641,0.0,0.0,0.0,0.0,0.0
although,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009491282328911978,0.0
always,0.0,0.00010901968866938428,0.0,0.0,0.00017561367635164564,0.0001523065657130181,0.0,0.0006161308271643958,0.0001428580339158997,0.0
ambassador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004745641164455989,0.0
ambition,0.0011104904864478059,0.0006427500770883809,0.0,0.0009270882463992572,0.0,0.0,0.00029095820605619366,0.0,0.0005264072792312353,0.000577204094650837
ambitions,0.0,0.00028823237869586506,0.0,0.0,0.0,0.0,0.00034793648447850963,0.0004072403252774023,0.0001888480486137995,0.0
ambitious,0.0,0.00028077200542838597,0.0,0.00040497922198586163,0.00011306995252810225,0.00014709528761648632,0.00012709904194847717,0.0007933992935616347,9.198002939579958e-05,0.0006933839165130812
amid,0.0,0.0003621555666867011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
among,0.0,0.0002804930354975876,0.0,0.0006473229472572275,0.00018073217326512918,0.0,0.00020315641386295749,0.00015852219730610328,0.0005145763824342801,0.0002015112677619957
amongst,0.0,0.0005062717560346336,0.0,0.0,0.0004077623289673424,0.0,0.0,0.0,0.0,0.0
amount,0.0,0.0,0.0,0.0,0.000610069827375696,0.0,0.00022858796360849366,0.0,0.0002481394897621468,0.0
amounted,0.0,0.0003621555666867011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amplify,0.0,0.0,0.0,0.0,0.0,0.0,0.00043717203208544633,0.0,0.0,0.0
amrc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013008955327649977
anaerobic,0.0,0.0,0.0,0.0,0.0,0.0,0.00043717203208544633,0.0,0.0,0.0
analyse,0.0,0.0,0.0,0.0,0.0,0.00035364489396486493,0.0,0.0007153057388596002,0.0,0.0
analysed,0.0,0.0,0.0,0.0,0.0005833760053189881,0.0,0.0,0.0,0.0,0.0
analysis,0.0,0.00043234856804379764,0.0,0.0,0.0,0.0,0.0005219047267177644,0.0008144806505548046,0.0013219363402965964,0.0
analytic,0.0,0.0,0.0,0.0,0.0023335040212759525,0.0,0.0,0.0,0.0,0.0
analytically,0.0,0.0003621555666867011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analytics,0.0,0.00014411618934793253,0.0,0.0,0.0006964459578470902,0.0006040149847555406,0.00017396824223925482,0.0,0.0,0.0
anchor,0.0,0.0014486222667468044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anchoring,0.0,0.0,0.0,0.0,0.0,0.0005059514596778831,0.0,0.0,0.0,0.0
anchors,0.0,0.0003621555666867011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
andrew,0.0,0.0007243111333734022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anglia,0.0,0.0,0.0,0.0,0.0,0.00035364489396486493,0.0,0.0,0.0,0.0004546434780887289
announce,0.0,0.0003621555666867011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
announced,0.0,0.00040171879818023807,0.0,0.0,0.00012942123733620237,0.0002244893973922174,0.0005819164121123873,0.0,0.0006316887350774823,0.001298709212964383
announcements,0.0,0.0,0.0,0.0041789203139637856,0.0,0.0,0.0,0.0,0.0,0.0
announcing,0.0,0.00043234856804379764,0.0,0.0,0.0,0.0002013383282518469,0.0005219047267177644,0.0,0.0001888480486137995,0.0
annual,0.0,0.00032705906600815287,0.0,0.0,0.0,0.0001523065657130181,0.0003948056847692872,0.0,0.0005714321356635988,0.0003916085765875397
annually,0.0,0.0,0.0,0.0,0.000305034913687848,0.0,0.00022858796360849366,0.0,0.0002481394897621468,0.0
annum,0.0,0.0,0.0,0.0,0.0,0.0007072897879297299,0.0,0.0,0.0,0.0018185739123549156
another,0.0,0.0005062717560346336,0.0,0.0,0.0,0.0,0.0,0.0,0.0006634121650593983,0.0
antibiotic,0.0,0.0,0.0,0.0,0.0,0.0005059514596778831,0.0,0.0,0.0,0.0
antibodies,0.0,0.0,0.0,0.0,0.0,0.0005059514596778831,0.0,0.0,0.0,0.0
anticipated,0.0,0.0003621555666867011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anticipating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004745641164455989,0.0
antifraud,0.0,0.0003621555666867011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anyone,0.0,0.0003621555666867011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anywhere,0.0,0.0003621555666867011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
app,0.0,0.0,0.0,0.0,0.0,0.0,0.00043717203208544633,0.0,0.0,0.0
appear,0.0,0.0003621555666867011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appetite,0.005005619767378361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
application,0.0,0.0007574537932217276,0.0,0.0,0.000305034913687848,0.0007936537932273803,0.0,0.0,0.0,0.0
applications,0.0,0.00043234856804379764,0.0,0.0,0.0006964459578470902,0.0,0.00034793648447850963,0.0,0.000377696097227599,0.0
applied,0.0,0.0001893634483054319,0.0,0.0,0.000305034913687848,0.0005291025288182537,0.0,0.0,0.0,0.0
applies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033170608252969914,0.0004546434780887289
apply,0.0,0.00028823237869586506,0.0,0.0,0.00046429730523139356,0.0004026766565036938,0.0,0.0004072403252774023,0.0,0.0
applying,0.0,0.0001893634483054319,0.0,0.0,0.0,0.00026455126440912683,0.00022858796360849366,0.0,0.0,0.0
appoint,0.0,0.0,0.0,0.0,0.0005833760053189881,0.0,0.0,0.0,0.0,0.0
appointed,0.0,0.0,0.0,0.0,0.0005833760053189881,0.0,0.0,0.0,0.0,0.0
apprentices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013008955327649977
